,Feature,Importance,Sigma,Relative
0,TOF_OffTimeClusterL1,3.320886916274046e-06,8.655029992075991e-07,0.26062405045055625
1,TOF_OffTimeClusterL3,1.0222249554492413e-05,1.183727026587843e-05,1.157990734111579
2,TOF_OffTimeClusterL2,1.8239806983493124e-05,9.613070174609682e-06,0.5270379332034287
3,TOF_OnTimeClusterL2,3.500392784885934e-05,2.075498614537338e-05,0.592933062683413
4,TOF_OffTimeClusterL4,3.262862357064114e-05,1.1666735582267148e-05,0.35756137726768045
5,TOF_OnTimeClusterL1,5.64563972180594e-05,2.9800512653284894e-05,0.5278500598998945
6,ringPMTs2_rich,0.00012737420558013335,2.806257565754825e-05,0.2203160014206612
7,random_var,0.00013870783655254123,2.6461677856205387e-05,0.19077276752263345
8,TRK_NormEdep2L2_XY,0.00015571923221206904,4.376118605746506e-05,0.28102621259953364
9,ringHits_rich,0.00017260856515521599,1.7126560165050143e-05,0.09922196010174414
10,chargedPMTs_rich,0.00018016958002460516,1.5565692438887598e-05,0.08639467570919487
11,TRK_MINchXYonTrackPlane2,0.0002440989097090983,9.078562222571292e-05,0.37192145730558773
12,chi2Time_tof,0.0002117764986262518,6.889469664474292e-05,0.32531795119688856
13,ringPMTs_rich,0.0002575759077266255,8.341248998565e-05,0.32383653704980303
14,TRK_MAXchXYonTrackPlane3,0.0002620684576546974,4.885187501373868e-05,0.18640883168819247
15,isBorder_rich,0.00026149517552232653,4.8332469639700505e-05,0.1848312097657567
16,kprob_rich,0.000269411243500183,7.554817512973075e-05,0.28041953315760343
17,TRK_ClusterOnL7_Y,0.00031241008512811056,8.527718062612916e-05,0.2729655177141909
18,hasRich,0.0002892031537067941,6.019898884168456e-05,0.20815467628930748
19,TRK_MAXchXYonTrackPlane2,0.0002998012382903658,5.2617022247111e-05,0.1755063539669238
20,chi2Coo_tof,0.0003238419791471791,5.001336692526627e-05,0.15443756568241665
21,beta_consistency_rich,0.0003377565498045033,4.280356490787345e-05,0.1267290447295502
22,charge2_rich,0.0003375957792168011,8.499282818923204e-05,0.2517591552430233
23,TRK_TrackResidualL6_X,0.0003332653367597643,1.89823860773714e-05,0.05695877723717463
24,totHits_rich,0.0003157104102365847,6.652551675575284e-05,0.21071689307267522
25,charge_rich,0.00037619224757923854,7.206721933794802e-05,0.19157018732228998
26,beta_consistencyTOF,0.00038099618846373516,4.091912274199453e-05,0.10740034672522554
27,TRK_NormEdep2L4_XY,0.0003965337496537576,7.906007918448463e-05,0.19937793253037786
28,TRK_MINchXYonTrackPlane3,0.00038477990312229675,5.9760005527712596e-05,0.15530958099108086
29,TRK_MINchXYonTrackPlane1,0.0004940005999806702,8.281756035428255e-05,0.16764667969537514
30,TRK_ClusterOnL8_Y,0.00044268439942561714,0.0001274041053265701,0.287798949978533
31,TOF_OnTimeClusterL4,0.0005012746998293053,8.246228371106037e-05,0.1645051779775451
32,measPE_Corr_rich,0.0005069673297591385,0.0001291257905541917,0.2547023900248951
33,ACC_AntiCounter,0.0005265918339757832,7.719253953179096e-05,0.14658894147481386
34,measPE_Uncorr_rich,0.0005936453233475374,6.683059144588013e-05,0.11257663257418696
35,totPE_Uncorr_rich,0.0006533677402455243,8.421252536973064e-05,0.12888993469142665
36,TRK_MAXchXYonTrackPlane1,0.00069879139721865,9.475513926367113e-05,0.13559860587983524
37,TRK_NormEdep2L3_XY,0.0007099879511281795,8.692117484835589e-05,0.12242626753064906
38,TRK_NormEdep2L6_XY,0.0006860816422285727,6.197085020402782e-05,0.0903257664827327
39,TOF_OnTimeClusterL3,0.0007559724868476348,5.107882410859939e-05,0.0675670411255248
40,TRK_TrackResidualL4_X,0.0008707993987506502,6.513004382311434e-05,0.07479339548988831
41,TRK_NormEdep2L5_XY,0.0011350304381948216,0.00020016121274728444,0.17634876212273692
42,TRK_TrackResidualL2_X,0.001101106647175606,0.00014127378999332713,0.12830164122222085
43,TRK_TrackResidualL5_X,0.0013938346674316256,0.00029835879277130973,0.21405608551915695
44,TRK_TrackResidualL3_X,0.0013936210393595727,0.00020084912268388723,0.14412032899287014
45,TRK_NormEdep2L7_XY,0.0014358324773764894,0.0002497934874558442,0.17397119189855592
46,TRK_TrackResidualL7_X,0.0018848273249695347,0.0002907283004385344,0.15424664985861955
47,InnerHit,0.0018031041966579354,9.250738218670538e-05,0.05130451271655203
48,TRK_NormEdep2L8_XY,0.002110461054441002,0.0002979337693924403,0.14116999163074062
49,TRK_TrackResidualL8_X,0.0026543614588425673,0.00034968145207460585,0.131738445383804
50,TRK_MINchXYonTrackPlane4,0.004922055495670062,0.0010315985302193965,0.20958693601217923
51,TRK_MAXchXYonTrackPlane4,0.007187782102810065,0.00041825519075533186,0.05818974264562289
52,TRK_TrackResidualL6_Y,0.0073032933293973885,0.000528592920341175,0.07237733670280917
53,TRK_TrackResidualL7_Y,0.014345831910514912,0.0017348604077786363,0.12093132127855577
54,TRK_TrackResidualL8_Y,0.0490019176133285,0.003731033753013916,0.07614056622141409
55,TRK_TrackResidualL5_Y,0.10221811707224247,0.0031903781973787824,0.031211474920086704
56,TRK_TrackResidualL3_Y,0.10681360633649452,0.003073252961776787,0.028772111224249178
57,TRK_TrackResidualL4_Y,0.10935252451620986,0.001818568711474504,0.016630331302547374
58,SigmaUpLow,0.14449968880447633,0.00487892540274782,0.03376426235318425
59,TRK_TrackResidualL2_Y,0.20618462104847107,0.0031385136275507678,0.015221860930224025
60,SigmaInnerL1,0.2192932535377336,0.003382531479384083,0.01542469467170386
