iter	Logloss
0	0.6929649045
1	0.692788564
2	0.6925971841
3	0.6923885143
4	0.6921725385
5	0.6919665723
6	0.6917603945
7	0.6915477264
8	0.6913355869
9	0.691110947
10	0.690899904
11	0.6906920005
12	0.6904801104
13	0.6902941302
14	0.6901037993
15	0.6899058536
16	0.689699766
17	0.6894848637
18	0.6892983146
19	0.6890837802
20	0.6888800581
21	0.6886670314
22	0.6884642953
23	0.6882611083
24	0.6880938995
25	0.6878823911
26	0.6876605364
27	0.6874649079
28	0.6872846781
29	0.6871044654
30	0.686896851
31	0.6866906446
32	0.6864802377
33	0.6862563647
34	0.6860427296
35	0.6858587176
36	0.685666405
37	0.6854648015
38	0.6852528472
39	0.6850366354
40	0.6848261872
41	0.6846133142
42	0.6844063678
43	0.6841992974
44	0.6839828477
45	0.683811523
46	0.6836004811
47	0.6834005819
48	0.6831858864
49	0.6829969373
50	0.6828144071
51	0.6826052921
52	0.6824085633
53	0.6822028591
54	0.6819920175
55	0.6817896686
56	0.6816004415
57	0.6814248438
58	0.681232736
59	0.6810277971
60	0.680826992
61	0.6806166887
62	0.6804263695
63	0.6802343758
64	0.6800324484
65	0.6798539644
66	0.6796452742
67	0.6794556874
68	0.6792883792
69	0.6790826113
70	0.678874713
71	0.6786722407
72	0.6784826889
73	0.6782789799
74	0.678071611
75	0.6778785761
76	0.6776695137
77	0.6774784021
78	0.6773139703
79	0.677147761
80	0.6769376052
81	0.6767364937
82	0.6765307267
83	0.6763327652
84	0.6761374382
85	0.6759312003
86	0.6757292823
87	0.6755235927
88	0.6753532396
89	0.6751561346
90	0.6749607407
91	0.6747755721
92	0.6745757599
93	0.674372548
94	0.6741669399
95	0.6739566963
96	0.6737504769
97	0.6735640135
98	0.6733750604
99	0.6731910811
100	0.6729845997
101	0.6727656896
102	0.6725551822
103	0.6723705769
104	0.6721727111
105	0.6719786653
106	0.671780146
107	0.6715936862
108	0.6713977036
109	0.6711962489
110	0.671026645
111	0.6708298237
112	0.6706332509
113	0.6704237071
114	0.6702325488
115	0.6700223667
116	0.6698122746
117	0.669612926
118	0.6694067985
119	0.6692188372
120	0.6690351319
121	0.6688219312
122	0.668623482
123	0.6684370482
124	0.6682312831
125	0.6680285278
126	0.6678396095
127	0.6676629636
128	0.6674640858
129	0.6672695322
130	0.6670774718
131	0.6668933567
132	0.6666979517
133	0.6665081104
134	0.6663021915
135	0.6661212178
136	0.6659066925
137	0.6657134411
138	0.6655088045
139	0.6653104696
140	0.6651152952
141	0.6649266488
142	0.6647394884
143	0.6645335249
144	0.6643395472
145	0.6641475006
146	0.6639514844
147	0.6637425738
148	0.6635543639
149	0.6633488589
150	0.6631438944
151	0.6629429491
152	0.6627658534
153	0.6625613945
154	0.6623781233
155	0.662206197
156	0.6620149603
157	0.6618300363
158	0.6616250003
159	0.6614197955
160	0.6612199985
161	0.6610878031
162	0.6608873447
163	0.6606957626
164	0.6605376278
165	0.6603445015
166	0.6601411111
167	0.6599596006
168	0.6597621073
169	0.6595568039
170	0.6593697431
171	0.6591714403
172	0.6589762597
173	0.658768578
174	0.658573096
175	0.6584047553
176	0.658206318
177	0.6580266548
178	0.6578307062
179	0.6576595287
180	0.6574560067
181	0.6572574416
182	0.6570834771
183	0.6568738838
184	0.6566877827
185	0.6564871528
186	0.6563045425
187	0.6561016032
188	0.6559117973
189	0.6557699905
190	0.6555707699
191	0.6553827744
192	0.6551856424
193	0.6549879894
194	0.6547931212
195	0.6545955505
196	0.6544077942
197	0.6542203348
198	0.6540169549
199	0.6538278763
200	0.6536308354
201	0.6534273947
202	0.65325461
203	0.6530612058
204	0.6528668214
205	0.6526899563
206	0.6525177129
207	0.6523268262
208	0.6521387396
209	0.651954208
210	0.6517661001
211	0.6515896359
212	0.6514010469
213	0.6512064146
214	0.6510088626
215	0.6508057724
216	0.6506013804
217	0.6504256191
218	0.6502569728
219	0.6500756786
220	0.6498763937
221	0.6496839777
222	0.6495154853
223	0.64931781
224	0.6491415521
225	0.6489769305
226	0.6488104887
227	0.648612498
228	0.6484397094
229	0.6482941306
230	0.6480989193
231	0.647910768
232	0.6477202731
233	0.6475267294
234	0.6473421566
235	0.6471655284
236	0.6469940945
237	0.6468177787
238	0.6466245713
239	0.6464421016
240	0.6462551435
241	0.6460735595
242	0.6458691092
243	0.6456854173
244	0.6454971171
245	0.6452994153
246	0.6451207971
247	0.6449416109
248	0.6447848171
249	0.6445936553
250	0.6443954243
251	0.6442052771
252	0.6440581138
253	0.6438597442
254	0.6436753147
255	0.6434909536
256	0.6432951675
257	0.6431209189
258	0.6429339315
259	0.642773436
260	0.6425948261
261	0.6424058968
262	0.6422290813
263	0.642066219
264	0.6418751982
265	0.6416750344
266	0.6414848231
267	0.6413528512
268	0.6411619028
269	0.6410004006
270	0.6408297415
271	0.6406424407
272	0.6404449474
273	0.6402439936
274	0.640056284
275	0.639889013
276	0.6397111221
277	0.6395140785
278	0.6393179424
