iter	Passed	Remaining
0	79	79510
1	139	69369
2	185	61640
3	239	59555
4	297	59109
5	360	59731
6	416	59110
7	476	59037
8	534	58893
9	595	58979
10	657	59120
11	717	59044
12	777	59021
13	838	59033
14	898	58973
15	959	58981
16	1018	58870
17	1079	58893
18	1138	58770
19	1203	58992
20	1263	58925
21	1324	58858
22	1381	58676
23	1439	58538
24	1504	58685
25	1585	59386
26	1681	60612
27	1803	62620
28	1879	62939
29	1958	63317
30	2069	64678
31	2158	65291
32	2236	65534
33	2318	65875
34	2389	65888
35	2452	65663
36	2547	66313
37	2653	67170
38	2732	67325
39	2836	68086
40	2948	68965
41	3038	69311
42	3120	69446
43	3223	70041
44	3356	71225
45	3460	71766
46	3562	72232
47	3636	72126
48	3708	71970
49	3776	71749
50	3843	71525
51	3924	71547
52	4006	71580
53	4079	71458
54	4143	71201
55	4232	71351
56	4323	71523
57	4437	72068
58	4539	72396
59	4617	72339
60	4690	72209
61	4776	72260
62	4843	72030
63	4906	71759
64	4991	71794
65	5073	71798
66	5137	71546
67	5197	71229
68	5265	71041
69	5326	70771
70	5396	70609
71	5482	70667
72	5544	70408
73	5604	70136
74	5670	69930
75	5729	69661
76	5794	69462
77	5855	69220
78	5920	69022
79	5976	68734
80	6037	68499
81	6096	68255
82	6159	68047
83	6222	67851
84	6283	67641
85	6350	67487
86	6421	67392
87	6486	67228
88	6552	67075
89	6618	66920
90	6682	66753
91	6741	66536
92	6806	66383
93	6867	66186
94	6926	65981
95	6985	65775
96	7043	65570
97	7101	65360
98	7165	65213
99	7225	65027
100	7289	64883
101	7349	64707
102	7411	64540
103	7468	64343
104	7527	64166
105	7593	64039
106	7658	63914
107	7719	63758
108	7778	63583
109	7841	63444
110	7903	63295
111	7963	63141
112	8022	62975
113	8080	62797
114	8137	62624
115	8195	62454
116	8253	62289
117	8310	62121
118	8369	61959
119	8424	61777
120	8484	61638
121	8543	61484
122	8615	61432
123	8696	61433
124	8777	61440
125	8851	61401
126	8914	61281
127	8983	61201
128	9054	61138
129	9117	61017
130	9175	60863
131	9233	60715
132	9290	60563
133	9348	60417
134	9402	60246
135	9460	60103
136	9517	59950
137	9599	59961
138	9683	59982
139	9781	60084
140	9853	60032
141	9913	59898
142	9974	59778
143	10033	59644
144	10094	59525
145	10154	59397
146	10213	59268
147	10271	59132
148	10335	59030
149	10392	58893
150	10457	58795
151	10516	58669
152	10577	58554
153	10633	58416
154	10697	58317
155	10755	58187
156	10814	58066
157	10872	57942
158	10927	57797
159	10988	57691
160	11051	57589
161	11114	57495
162	11175	57386
163	11233	57262
164	11290	57135
165	11349	57019
166	11410	56913
167	11466	56784
168	11528	56686
169	11585	56562
170	11644	56454
171	11704	56346
172	11764	56239
173	11827	56146
174	11889	56050
175	11944	55920
176	12004	55818
177	12059	55690
178	12120	55592
179	12176	55472
180	12237	55372
181	12295	55261
182	12356	55164
183	12414	55057
184	12470	54936
185	12526	54820
186	12584	54714
187	12643	54609
188	12704	54514
189	12764	54418
190	12827	54330
191	12886	54229
192	12943	54121
193	12999	54007
194	13059	53910
195	13117	53807
196	13177	53711
197	13233	53603
198	13295	53514
199	13352	53410
200	13412	53317
201	13470	53214
202	13529	53119
203	13585	53011
204	13646	52923
205	13703	52817
206	13765	52734
207	13822	52633
208	13895	52588
209	13979	52588
210	14062	52584
211	14140	52560
212	14196	52454
213	14256	52361
214	14317	52276
215	14374	52175
216	14434	52083
217	14490	51980
218	14547	51878
219	14602	51772
220	14717	51878
221	14802	51877
222	14877	51839
223	14958	51820
224	15037	51794
225	15111	51754
226	15171	51664
227	15231	51573
228	15296	51499
229	15360	51424
230	15421	51338
231	15484	51258
232	15541	51161
233	15600	51069
234	15657	50970
235	15715	50876
236	15772	50777
237	15832	50691
238	15890	50598
239	15952	50517
240	16009	50419
241	16068	50330
242	16126	50238
243	16187	50153
244	16245	50061
245	16304	49974
