,Feature,Importance,Sigma,Relative
0,TOF_OffTimeClusterL1,0.0005875327100402213,7.415655769214636e-05,0.1262169006506374
1,TOF_OffTimeClusterL2,0.0009085467355199172,0.00013316361341850729,0.14656770886123344
2,TOF_OnTimeClusterL2,0.0018292750516783443,0.00021185783225455515,0.11581518703826271
3,TOF_OnTimeClusterL1,0.0020494253288400647,0.0003966847418924759,0.1935590120363116
4,TOF_OffTimeClusterL3,0.001960260071267117,0.0002857769907316032,0.1457852429483381
5,ringHits_rich,0.002462616141087834,0.00037505582759280733,0.15229975201377932
6,ringPMTs_rich,0.003353530196751881,0.0011236095775162024,0.3350527687523117
7,TOF_OffTimeClusterL4,0.0030319708117350743,0.000424040768286259,0.13985648102054044
8,TRK_ClusterOnL7_Y,0.003013120178004496,0.0007352693586720424,0.24402257966324808
9,TRK_ClusterOnL8_Y,0.0031324806300281416,0.0003487211828953074,0.11132429026134937
10,ringPMTs2_rich,0.003858225594379663,0.0004955736857689881,0.12844601064564445
11,chargedPMTs_rich,0.003714008407952052,0.0008004626679898833,0.2155252708303016
12,TOF_OnTimeClusterL3,0.00601664780977095,0.0011360785418269262,0.18882251009971882
13,TOF_OnTimeClusterL4,0.0082622073308567,0.0014282237042251866,0.17286224455917829
14,totHits_rich,0.008099952573031534,0.0012897803584931884,0.15923307536237435
15,TRK_NormEdep2L4_XY,0.008179041477645706,0.0005276174530936588,0.06450847015945574
16,TRK_NormEdep2L2_XY,0.008365221961641295,0.00034355066783327965,0.04106892434039771
17,random_var,0.008680608104271528,0.0007463516039525179,0.08597918429070141
18,TRK_NormEdep2L3_XY,0.00861362292234554,0.0009686204749017434,0.11245215673290494
19,ACC_AntiCounter,0.008852291310771171,0.001224432656305506,0.13831816117660492
20,TRK_NormEdep2L6_XY,0.010152061817583168,0.0012437228580604305,0.12250938581819186
21,charge_rich,0.010177981813557098,0.00045664718957576125,0.044866182504620516
22,charge2_rich,0.010405667047575617,0.001557109476336025,0.1496405246503453
23,TRK_NormEdep2L5_XY,0.011661934063509852,0.0011767407957275827,0.10090442882965701
24,measPE_Uncorr_rich,0.011801820745671534,0.0015277949195528415,0.12945417088402902
25,chi2Time_tof,0.012212140018210395,0.0005284092748056383,0.04326917919526713
26,chi2Coo_tof,0.011257768308630595,0.00163439529000547,0.14517933263491362
27,TRK_TrackResidualL6_X,0.01314603571860672,0.001406646218912957,0.10700155157208414
28,kprob_rich,0.012825858317997334,0.0007934037018301842,0.061859696416330635
29,measPE_Corr_rich,0.01325160774744932,0.0024268859078640675,0.18313897861421355
30,beta_consistencyTOF,0.015114434138388231,0.0024522307121021113,0.16224429506585628
31,hasRich,0.014059960166715076,0.001297410106290426,0.09227694039716108
32,TRK_TrackResidualL5_X,0.01494953553268861,0.0020390745966037222,0.1363971871999025
33,TRK_TrackResidualL2_X,0.014941715461331051,0.0008178536558897489,0.05473626224554621
34,TRK_TrackResidualL3_X,0.014972097136122924,0.0009824888730160875,0.06562132639693162
35,isBorder_rich,0.015557312671114987,0.0008300176164934776,0.05335224881316154
36,TRK_TrackResidualL4_X,0.015430836451759345,0.0012276740467580777,0.07955978605541533
37,TRK_NormEdep2L8_XY,0.015555683472717536,0.0011568730318302068,0.07436979762793439
38,TRK_NormEdep2L7_XY,0.01617085927422611,0.003161284224012151,0.19549265567172164
39,TRK_TrackResidualL8_X,0.018626627745039065,0.0014418889222796907,0.0774100895780084
40,TRK_TrackResidualL7_X,0.019566951818793754,0.0011803502218525302,0.0603236637358519
41,beta_consistency_rich,0.019365945264653257,0.000868930765187061,0.044869008628927315
42,totPE_Uncorr_rich,0.020938005356117024,0.0027371787943818926,0.1307277721935546
43,TRK_TrackResidualL6_Y,0.022638626644295334,0.0020900894194004053,0.09232403768304925
44,InnerHit,0.02674232443092912,0.0033310074501480603,0.12455938371219324
45,TRK_TrackResidualL7_Y,0.031694965286005836,0.002673057515440808,0.08433697564644545
46,SigmaUpLow,0.034735610543644026,0.0028133801173887848,0.08099411737282912
47,TRK_TrackResidualL5_Y,0.041212035403109866,0.002986385166144844,0.07246390858723495
48,TRK_TrackResidualL4_Y,0.04172290975460978,0.0040538522954245175,0.09716130344855982
49,SigmaInnerL1,0.06673336926828322,0.01200431925775642,0.1798848070969764
50,TRK_TrackResidualL8_Y,0.06492809504526997,0.0070517148838400495,0.10860806679948588
51,TRK_TrackResidualL3_Y,0.09983714348395942,0.007861326045706973,0.07874149611431974
52,TRK_TrackResidualL2_Y,0.14264149470381554,0.0040228727631057785,0.02820268233629334
