iter	Passed	Remaining
0	661	3305460
1	1107	2768864
2	1567	2611402
3	2099	2622214
4	2634	2631463
5	3071	2556273
6	3530	2517987
7	4204	2623699
8	4826	2676300
9	5346	2667893
10	6062	2749604
11	6568	2730215
12	7118	2730629
13	7726	2751774
14	8420	2798348
15	9170	2856613
16	9869	2892962
17	10383	2873890
18	10741	2815837
19	11300	2813749
20	11752	2786553
21	12446	2816235
22	13174	2850764
23	13885	2878941
24	14651	2915566
25	15329	2932593
26	15986	2944461
27	16681	2962235
28	17249	2956719
29	17763	2942870
30	18371	2944831
31	18853	2926971
32	19450	2927611
33	20053	2928978
34	20596	2921768
35	21116	2911737
36	21806	2924976
37	22555	2945285
38	23055	2932841
39	23586	2924671
40	24061	2910215
41	24501	2892344
42	25001	2882139
43	25513	2873735
44	25917	2853751
45	26307	2833232
46	26734	2817390
47	27207	2806859
48	27672	2796012
49	27965	2768557
50	28263	2742654
51	28606	2722056
52	28914	2698830
53	29189	2673540
54	29487	2651152
55	29822	2632919
56	30118	2611818
57	30393	2589772
58	30726	2573191
59	31059	2557255
60	31336	2537254
61	31616	2518096
62	31884	2498661
63	32145	2479209
64	32395	2459556
65	32812	2452961
66	33095	2436692
67	33336	2417888
68	33567	2398879
69	33784	2379397
70	34022	2361905
71	34253	2344435
72	34494	2328164
73	34752	2313401
74	35026	2300063
75	35294	2286694
76	35576	2274562
77	35812	2259875
78	36033	2244537
79	36286	2231603
80	36553	2219858
81	36825	2208651
82	37124	2199273
83	37411	2189477
84	37714	2180771
85	38164	2180677
86	38420	2169662
87	38645	2157124
88	38889	2145907
89	39137	2135182
90	39392	2125025
91	39661	2115842
92	39917	2106167
93	40157	2095883
94	40386	2085194
95	40606	2074326
96	40847	2064694
97	41073	2054521
98	41339	2046494
99	41558	2036348
100	41799	2027485
101	42043	2018933
102	42294	2010818
103	42560	2003633
104	42808	1995674
105	43064	1988286
106	43501	1989263
107	43717	1980222
108	43992	1974022
109	44244	1966865
110	44472	1958773
111	44714	1951451
112	44929	1943093
113	45174	1936181
114	45416	1929232
115	45653	1922155
116	45951	1917804
117	46175	1910397
118	46374	1902115
119	46606	1895320
120	46826	1888164
121	47040	1880866
122	47386	1878900
123	47624	1872709
124	47921	1868935
125	48222	1865372
126	48476	1860042
127	48989	1864658
128	49273	1860558
129	49627	1859111
130	50042	1859963
131	50452	1860608
132	50840	1860470
133	51167	1858079
134	51491	1855592
135	51817	1853251
136	52150	1851168
137	52496	1849537
138	52819	1847161
139	53146	1844947
140	53462	1842382
141	53797	1840485
142	54267	1843199
143	54585	1840734
144	54923	1838992
145	55267	1837459
146	55581	1834946
147	55941	1833970
148	56211	1830096
149	56544	1828258
150	56844	1825423
151	57129	1822131
152	57424	1819192
153	57703	1815784
154	58000	1812991
155	58272	1809449
156	58586	1807222
157	58875	1804284
158	59124	1800144
159	59469	1798962
160	59892	1800118
161	60209	1798121
162	60456	1794044
163	60732	1790874
164	61031	1788409
165	61340	1786251
166	61606	1782893
167	61882	1779851
168	62166	1777085
169	62447	1774244
170	62724	1771333
171	62965	1767417
172	63246	1764688
173	63494	1761046
174	63706	1756488
175	63927	1752193
176	64169	1748531
177	64416	1745027
178	64694	1742405
179	65080	1742708
180	65286	1738198
181	65511	1734253
182	65729	1730155
183	65957	1726361
184	66248	1724258
185	66476	1720526
186	66692	1716536
187	66901	1712382
188	67129	1708775
189	67414	1706640
190	67650	1703304
191	67854	1699201
192	68055	1695036
193	68262	1691082
194	68478	1687384
195	68677	1683290
196	68922	1680387
197	69202	1678328
198	69436	1675208
199	69649	1671584
200	69859	1667945
201	70187	1667132
202	70510	1666212
203	70741	1663129
204	70953	1659625
205	71189	1656705
206	71467	1654794
207	71708	1652061
208	71924	1648746
209	72154	1645818
210	72365	1642447
211	72618	1640071
212	72849	1637229
213	73078	1634360
214	73308	1631551
215	73561	1629253
216	73812	1626940
217	74066	1624699
218	74307	1622206
219	74524	1619223
220	74726	1615911
221	74942	1612959
222	75170	1610276
223	75382	1607261
224	75773	1608091
225	75964	1604657
226	76181	1601823
227	76406	1599184
228	76614	1596193
229	76817	1593131
230	77041	1590517
231	77252	1587667
232	77462	1584827
233	77669	1581932
234	77886	1579275
235	78086	1576280
236	78293	1573460
237	78523	1571131
238	78693	1567618
239	78917	1565204
240	79157	1563119
241	79345	1560030
242	79567	1557614
243	79770	1554875
244	79975	1552176
245	80207	1550024
246	80415	1547433
247	80597	1544353
248	80931	1544206
249	81200	1542818
250	81411	1540329
251	81619	1537821
252	81838	1535522
253	82090	1533867
254	82329	1531974
255	82564	1530023
256	82749	1527168
257	82975	1525080
258	83258	1524047
259	83481	1521928
260	83682	1519429
261	83874	1516790
262	84127	1515255
263	84387	1513858
264	84675	1512973
265	84983	1512450
266	85218	1510627
267	85557	1510662
268	85995	1512426
269	86507	1515491
270	86763	1514030
271	87056	1513250
272	87293	1511484
273	87502	1509253
274	87748	1507682
275	88030	1506717
276	88265	1504972
277	88553	1504139
278	88793	1502492
279	89057	1501250
280	89344	1500412
281	89617	1499347
282	89852	1497641
283	90109	1496324
284	90391	1495429
285	90663	1494366
286	90923	1493110
287	91222	1492502
288	91486	1491327
289	91824	1491358
290	92024	1489156
291	92261	1487565
292	92476	1485624
293	92675	1483435
294	92941	1482330
295	93156	1480426
296	93399	1478986
297	93604	1476933
298	93832	1475265
299	94072	1473799
300	94282	1471867
301	94466	1469544
302	94678	1467678
303	94967	1467005
304	95229	1465906
305	95450	1464202
306	95647	1462130
307	95873	1460513
308	96150	1459685
309	96447	1459163
310	96710	1458127
311	97163	1459949
312	97409	1458659
313	97703	1458081
314	97979	1457255
315	98283	1456841
316	98519	1455421
317	98756	1454020
318	99021	1453039
319	99346	1452937
320	99632	1452279
321	99913	1451543
322	100152	1450195
323	100413	1449182
324	100673	1448156
325	100909	1446776
326	101158	1445605
