,Feature,Importance,Sigma,Relative
0,TOF_OffTimeClusterL2,0.00010737420639022897,2.3664586635099048e-05,0.2203935882803649
1,TOF_OffTimeClusterL1,0.00012000602861597067,2.3446044056008176e-05,0.1953738851823643
2,TRK_ClusterOnL8_Y,0.00018099960368789025,6.140861166979564e-05,0.3392748404890799
3,TOF_OnTimeClusterL3,0.00019803350519343555,1.4474208908752516e-05,0.07308969709249134
4,TOF_OnTimeClusterL4,0.000233251067813982,2.3500757234475365e-05,0.10075305315736967
5,TRK_ClusterOnL7_Y,0.00025047136664577043,5.295676758749527e-05,0.21142842911217663
6,TOF_OnTimeClusterL1,0.0003056229275585357,4.4184918967954e-05,0.14457331235233098
7,TOF_OnTimeClusterL2,0.00030921510320867734,5.688353393605287e-05,0.1839610463582834
8,TOF_OffTimeClusterL3,0.0002903160078231896,5.2353475986883465e-05,0.18033272219273613
9,TOF_OffTimeClusterL4,0.0003681984056239519,2.3549162654493848e-05,0.06395780724413311
10,ACC_AntiCounter,0.0004442160929655944,9.80975135368762e-05,0.22083286735961202
11,TRK_NormEdep2L2_XY,0.0006040566150006066,1.9894968655168463e-05,0.03293560265894693
12,chi2Coo_tof,0.000637889998860445,3.3453173225974383e-05,0.05244348286653908
13,chi2Time_tof,0.0006499688980271528,7.808852541436931e-05,0.12014194163965539
14,random_var,0.0006414890359906311,5.456095034474947e-05,0.08505359761993862
15,chargedPMTs_rich,0.0006681922414237311,9.481180290461012e-05,0.14189300178432576
16,TRK_NormEdep2L8_XY,0.0008438806056945927,5.024195203075647e-05,0.05953680140498388
17,TRK_NormEdep2L7_XY,0.0008333689663008575,7.742564903610275e-05,0.09290680618907404
18,TRK_TrackResidualL7_X,0.0010949375229023794,9.443470315467363e-05,0.08624665899142181
19,TRK_TrackResidualL8_X,0.001362414070288237,3.520723641851795e-05,0.02584180330071708
20,TRK_NormEdep2L4_XY,0.0016614293230239646,7.64287057527403e-05,0.046001779728813585
21,TRK_TrackResidualL4_X,0.0019295150469365698,0.00015452599959023388,0.08008540790369577
22,TRK_TrackResidualL6_X,0.002932113434891444,0.000129291315186069,0.04409492267506893
23,TRK_NormEdep2L6_XY,0.0035300074065627344,0.0004106491981516853,0.11633097352380509
24,beta_consistencyTOF,0.0036014894752472767,0.0004609694082753552,0.12799410117496046
25,InnerHit,0.004281055667372137,0.00039942503470565357,0.09330059353113591
26,TRK_TrackResidualL2_X,0.004004810750201483,0.000325872127716802,0.08137016903992463
27,beta_consistency_rich,0.0044538323997920385,0.000390021453063809,0.087569854016514
28,charge_rich,0.005350896464087077,9.08311829785326e-05,0.01697494683146134
29,TRK_TrackResidualL5_X,0.0053379491360892985,0.00015468230982592802,0.028977853831565686
30,kprob_rich,0.006020036224155144,0.0003499536557278888,0.05813148670496605
31,totHits_rich,0.006482380254861464,0.0008072340118353155,0.12452740815843533
32,charge2_rich,0.006055884056732883,0.0005337240700300829,0.08813313878370785
33,ringHits_rich,0.0064985552665229734,0.00043523457054846026,0.06697405080026823
34,TRK_TrackResidualL3_X,0.008894722106166195,0.0008387775716193346,0.09430059327405617
35,TRK_NormEdep2L5_XY,0.008705823805172609,0.0004366368652904925,0.05015457182019495
36,TRK_TrackResidualL6_Y,0.009148739340266778,0.0007633503540358045,0.08343776400711676
37,measPE_Uncorr_rich,0.009211806459077548,0.000407307263499152,0.0442157860468053
38,SigmaInnerL1,0.009450018612445476,0.00012797287171989238,0.013542076155422043
39,measPE_Corr_rich,0.009630570340735315,0.000911887879210181,0.09468679911438728
40,ringPMTs2_rich,0.010979247435741659,0.001245919766285855,0.11347952339883592
41,TRK_NormEdep2L3_XY,0.010442192576629695,0.0010141787202249247,0.09712315807072192
42,totPE_Uncorr_rich,0.010789258110790793,0.0002800722075444725,0.025958430567562425
43,ringPMTs_rich,0.011066309959703188,0.0009892853967164506,0.08939614020561777
44,TRK_TrackResidualL7_Y,0.017915819635479713,0.0012459152350848114,0.0695427426952577
45,TRK_TrackResidualL5_Y,0.020116641299176348,0.000979990278282532,0.04871540252212265
46,TRK_TrackResidualL8_Y,0.05324317874429883,0.0025461809791471304,0.04782173114372459
47,TRK_TrackResidualL4_Y,0.08437809148839359,0.0021507469844619276,0.0254894007025244
48,TRK_TrackResidualL3_Y,0.27835664312845776,0.0027440605286252863,0.009858074511118961
49,TRK_TrackResidualL2_Y,0.3753870797809721,0.0023196284669472042,0.006179297562134112
